# bright_soliton_newton_state_v1
# A,1.00000000000000000e+00
# b,7.50000000000000000e-01
# Omega,1.79999999999999993e-01
# A_sol,7.50000000000000000e-01
# w_sol,5.00000000000000000e-01
# x_start,2.76149999999999984e+00
# v_start,0.00000000000000000e+00
# L,-1.00000000000000000e+01
# R_excluded,9.95000000000000284e+00
# N,400
# dx,5.00000000000007105e-02
# g,-1.00000000000000000e+00
# point_5_over_dx_squared,1.99999999999994316e+02
# interpolate,False
# exported_mass,2.30752941782598864e+00
# exported_x_cm,2.96712377001946592e+00
# exported_width,6.78845247267727103e-01
x,u_real,u_imag
-2.09999999999999964e+00,1.64971330100337600e-03,1.04056128507946539e-16
-2.04999999999999982e+00,1.75068171664056094e-03,1.10424739736552640e-16
-2.00000000000000000e+00,1.85810035963741415e-03,1.17200200861575786e-16
-1.94999999999999929e+00,1.97244510132794752e-03,1.24412527646533770e-16
-1.90000000000000036e+00,2.09423529497455851e-03,1.32094478437638766e-16
-1.84999999999999964e+00,2.22403847994999751e-03,1.40281850933816706e-16
-1.79999999999999893e+00,2.36247562813935059e-03,1.49013813088129808e-16
-1.75000000000000000e+00,2.51022699322689001e-03,1.58333272083605297e-16
-1.69999999999999929e+00,2.66803862944265703e-03,1.68287285491156475e-16
-1.65000000000000036e+00,2.83672965260474376e-03,1.78927519272072371e-16
-1.59999999999999964e+00,3.01720032286757105e-03,1.90310757561582271e-16
-1.54999999999999893e+00,3.21044103541632576e-03,2.02499469786976527e-16
-1.50000000000000000e+00,3.41754231235150575e-03,2.15562440955395729e-16
-1.44999999999999929e+00,3.63970589607461080e-03,2.29575471321451719e-16
-1.40000000000000036e+00,3.87825705147158998e-03,2.44622152354853761e-16
-1.34999999999999964e+00,4.13465819090996431e-03,2.60794726123777010e-16
-1.29999999999999893e+00,4.41052394228833890e-03,2.78195035724231376e-16
-1.25000000000000000e+00,4.70763778582205042e-03,2.96935574659194199e-16
-1.19999999999999929e+00,5.02797038957891480e-03,3.17140643385103656e-16
-1.15000000000000036e+00,5.37369977659841406e-03,3.38947621326875530e-16
-1.09999999999999964e+00,5.74723345727938453e-03,3.62508362888820909e-16
-1.04999999999999893e+00,6.15123265908963917e-03,3.87990725711668092e-16
-1.00000000000000000e+00,6.58863878096688140e-03,4.15580239374111098e-16
-9.49999999999999289e-01,7.06270219143153351e-03,4.45481921797734468e-16
-9.00000000000000355e-01,7.57701347678112896e-03,4.77922250225720491e-16
-8.49999999999999645e-01,8.13553722814353182e-03,5.13151292359855734e-16
-7.99999999999998934e-01,8.74264843302507630e-03,5.51445001768703981e-16
-7.50000000000000000e-01,9.40317150776559703e-03,5.93107679863177708e-16
-6.99999999999999289e-01,1.01224219715954755e-02,6.38474604495456653e-16
-6.50000000000000355e-01,1.09062507205524659e-02,6.87914822559983099e-16
-5.99999999999999645e-01,1.17610908103772498e-02,7.41834100854653796e-16
-5.49999999999998934e-01,1.26940066019983269e-02,8.00678025926951487e-16
-5.00000000000000000e-01,1.37127450620472251e-02,8.64935239870379679e-16
-4.49999999999999289e-01,1.48257889451535955e-02,9.35140794792866525e-16
-3.99999999999998579e-01,1.60424115161645793e-02,1.01187960447529475e-15
